"Борт","Вход","Выход","Вход/Выход","Время"
TЕ127НС154,0,1,Выход,2022-07-27 17:07:40
TЕ127НС154,0,1,Выход,2022-07-27 17:07:42
TЕ127НС154,1,0,Вход,2022-07-27 17:20:03
TЕ127НС154,1,0,Вход,2022-07-27 17:23:08
TЕ127НС154,0,1,Выход,Invalid Date
TЕ127НС154,1,0,Вход,2022-07-27 17:24:53
TЕ127НС154,0,1,Выход,2022-07-27 17:31:44
TЕ127НС154,0,1,Выход,2022-07-27 17:31:46
TЕ127НС154,0,1,Выход,2022-07-27 17:31:48

